Test Method=testMethod3(), Test Class=CTest [JUNIT4], References={CTest.c:UNKNOWNP.C, var2:java.lang.StringBuilder, CTest.c:UNKNOWNP.C, CTest.var1:java.lang.StringBuffer, var3:char[], var3:char[], CTest.c:UNKNOWNP.C, CTest.var4:char[], var3:char[], var1:java.lang.StringBuilder, CTest.c:UNKNOWNP.C, UNKNOWNP.C.FLAG:UNKNOWNP.UNKNOWN, CTest.c:UNKNOWNP.C, UNKNOWNP.C.FLAG:UNKNOWNP.UNKNOWN, }, Invocations={UNKNOWNP.C.C():void, UNKNOWNP.C.m3(java.lang.StringBuffer, int):java.lang.StringBuilder, UNKNOWNP.C.m4(int, java.lang.StringBuilder):char[], java.lang.StringBuilder.StringBuilder(java.lang.String):void, UNKNOWNP.C.m4(UNKNOWNP.UNKNOWN, java.lang.StringBuilder):UNKNOWNP.UNKNOWN, }, Assertions={assertArrayEquals, assertNull, }
id=15030 rank=1 score=3.137 fqn=org.jaxlib.junit.XTestCase heuristics={R:1.000, BFI:0.137, I:1.000, K:1.000}
id=1867 rank=2 score=2.692 fqn=org.easycsv.HtmlTest heuristics={R:0.500, BFI:1.000, I:1.000, K:0.192}
id=7843 rank=3 score=2.673 fqn=org.jamon.integration.TestBase heuristics={R:0.500, BFI:0.327, I:1.000, K:0.846}
id=18570 rank=4 score=2.587 fqn=de.fzj.unicore.cis.persistence.TestXmlDBCollection heuristics={A:1.000, R:0.500, DF:1.000, K:0.087}
id=6573 rank=5 score=2.261 fqn=com.amazon.carbonado.raw.TestEncodingStrategy heuristics={R:1.000, BFI:0.067, I:1.000, K:0.195}
id=11771 rank=6 score=2.077 fqn=net.sf.beanlib.io.FastLineNumberReaderTest heuristics={R:0.500, BFI:0.383, I:1.000, K:0.194}
id=4313 rank=7 score=2.051 fqn=org.jvoicexml.interpreter.grammar.TestSrgsXmlGrammarIdentifier heuristics={A:0.500, R:1.000, K:0.551}
id=12394 rank=8 score=1.807 fqn=games.strategy.net.MessengerTest heuristics={R:0.500, BFI:0.110, I:1.000, K:0.197}
id=10389 rank=9 score=1.805 fqn=org.apache.cocoon.xml.dom.DOMBuilderTestCase heuristics={R:1.000, K:0.805}
id=14254 rank=10 score=1.646 fqn=org.dhcp4java.test.DHCPOptionTest heuristics={A:0.500, R:1.000, K:0.146}
id=7280 rank=11 score=1.639 fqn=gsn.storage.SQLUtilsTest heuristics={R:0.500, DF:1.000, K:0.139}
id=3564 rank=12 score=1.567 fqn=org.exist.xmldb.test.TreeLevelOrderTest heuristics={R:1.000, K:0.567}
id=3809 rank=12 score=1.567 fqn=org.exist.xmldb.TreeLevelOrderTest heuristics={R:1.000, K:0.567}
id=3461 rank=14 score=1.523 fqn=org.exist.xquery.test.XMLNodeAsXQueryParameterTest heuristics={R:1.000, K:0.523}
id=3756 rank=14 score=1.523 fqn=org.exist.xquery.XMLNodeAsXQueryParameterTest heuristics={R:1.000, K:0.523}
id=3839 rank=16 score=1.520 fqn=org.exist.xmldb.DTMHandleTest heuristics={R:1.000, K:0.520}
id=3623 rank=16 score=1.520 fqn=org.exist.xmldb.test.DTMHandleTest heuristics={R:1.000, K:0.520}
id=14013 rank=18 score=1.500 fqn=net.sf.jameleon.data.CsvDataDriverTest heuristics={A:0.500, R:1.000}
id=3786 rank=19 score=1.396 fqn=org.exist.xquery.NodeTypeTest heuristics={R:1.000, K:0.396}
id=3500 rank=19 score=1.396 fqn=org.exist.xquery.test.NodeTypeTest heuristics={R:1.000, K:0.396}
id=8851 rank=21 score=1.387 fqn=org.nxplanner.acceptance.web.AbstractPageTestScript heuristics={R:1.000, K:0.387}
id=1873 rank=22 score=1.278 fqn=org.easycsv.DatabaseTest heuristics={R:1.000, K:0.278}
id=11571 rank=23 score=1.259 fqn=test.AppTest_GUI heuristics={R:1.000, K:0.259}
id=9917 rank=24 score=1.231 fqn=net.sourceforge.voctutor.io.FileHistoryTest heuristics={R:1.000, K:0.231}
id=11404 rank=25 score=1.219 fqn=net.sourceforge.cruisecontrol.labelincrementers.P4ChangelistLabelIncrementerTest heuristics={R:1.000, K:0.219}
id=1895 rank=26 score=1.194 fqn=org.easycsv.StringHandlerTest heuristics={R:1.000, K:0.194}
id=4806 rank=27 score=1.150 fqn=org.carrot2.util.tokenizer.parser.WordBasedParserTest heuristics={R:1.000, K:0.150}
id=6987 rank=28 score=1.098 fqn=datadog.sessions.JdbcTransactionTest heuristics={A:0.500, R:0.500, K:0.098}
id=6981 rank=29 score=1.062 fqn=datadog.sessions.JdbcSessionTest heuristics={A:0.500, R:0.500, K:0.062}
id=15932 rank=30 score=1.000 fqn=com.javaeedev.util.DateUtilTest heuristics={A:1.000}
id=2185 rank=30 score=1.000 fqn=com.sdm.util.model.AbstractValueModelTest heuristics={A:0.500, R:0.500}
id=6152 rank=30 score=1.000 fqn=com.brimarx.icap10.stack.impl.SimpleIcapResponseParserTest heuristics={A:0.500, R:0.500}
id=4261 rank=30 score=1.000 fqn=com.wiradikusuma.dewantara.webapp.filter.LocaleFilterTest heuristics={A:0.500, R:0.500}
